,epsilon,alpha,gamma,avgresult,avgresult_p
0,0.0,0.1,0.1,99.2,18.4
1,0.0,0.1,0.2,98.4,16.8
2,0.0,0.1,0.4,96.2,18.4
3,0.0,0.1,0.6,93.6,18.0
4,0.0,0.1,0.8,88.6,16.8
5,0.0,0.1,0.9,96.6,18.8
6,0.0,0.2,0.1,99.2,19.6
7,0.0,0.2,0.2,98.4,19.2
8,0.0,0.2,0.4,97.8,19.0
9,0.0,0.2,0.6,96.2,17.8
10,0.0,0.2,0.8,94.4,19.0
11,0.0,0.2,0.9,79.0,14.2
12,0.0,0.4,0.1,99.2,18.8
13,0.0,0.4,0.2,99.2,18.4
14,0.0,0.4,0.4,98.8,18.2
15,0.0,0.4,0.6,94.4,18.0
16,0.0,0.4,0.8,89.8,17.2
17,0.0,0.4,0.9,72.8,15.0
18,0.0,0.6,0.1,99.4,19.8
19,0.0,0.6,0.2,99.4,19.0
20,0.0,0.6,0.4,99.0,18.4
21,0.0,0.6,0.6,95.2,18.8
22,0.0,0.6,0.8,81.4,15.8
23,0.0,0.6,0.9,76.2,15.8
24,0.0,0.8,0.1,99.2,19.4
25,0.0,0.8,0.2,99.8,19.2
26,0.0,0.8,0.4,98.8,19.4
27,0.0,0.8,0.6,98.8,19.0
28,0.0,0.8,0.8,90.8,19.0
29,0.0,0.8,0.9,87.6,16.2
30,0.0,0.9,0.1,99.6,19.4
31,0.0,0.9,0.2,100.0,19.2
32,0.0,0.9,0.4,99.2,19.4
33,0.0,0.9,0.6,99.4,19.0
34,0.0,0.9,0.8,86.2,16.6
35,0.0,0.9,0.9,73.6,15.2
36,0.1,0.1,0.1,96.6,12.2
37,0.1,0.1,0.2,97.0,13.2
38,0.1,0.1,0.4,87.2,11.2
39,0.1,0.1,0.6,88.2,11.0
40,0.1,0.1,0.8,88.8,12.0
41,0.1,0.1,0.9,91.8,14.6
42,0.1,0.2,0.1,98.0,12.4
43,0.1,0.2,0.2,96.8,11.4
44,0.1,0.2,0.4,91.2,14.2
45,0.1,0.2,0.6,87.4,12.0
46,0.1,0.2,0.8,74.8,11.6
47,0.1,0.2,0.9,75.6,10.8
48,0.1,0.4,0.1,98.0,12.6
49,0.1,0.4,0.2,97.4,12.6
50,0.1,0.4,0.4,95.8,13.4
51,0.1,0.4,0.6,89.8,14.4
52,0.1,0.4,0.8,81.2,12.2
53,0.1,0.4,0.9,78.6,10.0
54,0.1,0.6,0.1,97.6,13.6
55,0.1,0.6,0.2,97.2,12.6
56,0.1,0.6,0.4,95.4,13.0
57,0.1,0.6,0.6,87.2,14.4
58,0.1,0.6,0.8,76.2,11.8
59,0.1,0.6,0.9,72.2,11.0
60,0.1,0.8,0.1,97.0,12.8
61,0.1,0.8,0.2,98.4,12.4
62,0.1,0.8,0.4,95.8,14.0
63,0.1,0.8,0.6,88.2,14.0
64,0.1,0.8,0.8,85.2,12.0
65,0.1,0.8,0.9,72.4,10.0
66,0.1,0.9,0.1,97.0,12.8
67,0.1,0.9,0.2,98.4,12.2
68,0.1,0.9,0.4,95.6,12.4
69,0.1,0.9,0.6,89.4,11.4
70,0.1,0.9,0.8,80.8,10.2
71,0.1,0.9,0.9,66.2,9.2
72,0.2,0.1,0.1,93.0,8.0
73,0.2,0.1,0.2,93.6,8.6
74,0.2,0.1,0.4,83.2,7.2
75,0.2,0.1,0.6,82.6,9.6
76,0.2,0.1,0.8,82.4,10.2
77,0.2,0.1,0.9,75.2,9.0
78,0.2,0.2,0.1,93.2,8.4
79,0.2,0.2,0.2,93.8,8.2
80,0.2,0.2,0.4,84.8,11.4
81,0.2,0.2,0.6,81.4,8.6
82,0.2,0.2,0.8,81.4,7.0
83,0.2,0.2,0.9,64.4,7.2
84,0.2,0.4,0.1,94.6,9.8
85,0.2,0.4,0.2,95.2,8.8
86,0.2,0.4,0.4,88.2,7.6
87,0.2,0.4,0.6,84.0,9.4
88,0.2,0.4,0.8,78.8,9.0
89,0.2,0.4,0.9,69.2,8.0
90,0.2,0.6,0.1,95.0,7.4
91,0.2,0.6,0.2,92.8,10.6
92,0.2,0.6,0.4,92.0,9.2
93,0.2,0.6,0.6,82.2,7.2
94,0.2,0.6,0.8,79.6,8.2
95,0.2,0.6,0.9,67.0,6.6
96,0.2,0.8,0.1,95.2,8.6
97,0.2,0.8,0.2,93.0,7.8
98,0.2,0.8,0.4,90.6,9.6
99,0.2,0.8,0.6,82.0,10.2
100,0.2,0.8,0.8,72.6,6.2
101,0.2,0.8,0.9,66.2,5.8
102,0.2,0.9,0.1,93.6,10.0
103,0.2,0.9,0.2,91.6,7.4
104,0.2,0.9,0.4,91.8,10.0
105,0.2,0.9,0.6,83.2,9.2
106,0.2,0.9,0.8,70.6,6.6
107,0.2,0.9,0.9,63.6,5.6
